Delhi,Kolkata,Mumbai,Chennai
69.97,72.72,77.87,72.53
69.97,72.72,77.87,72.53
69.97,72.72,77.87,72.53
69.97,72.72,77.87,72.53
69.99,72.74,77.89,72.55
70.13,72.88,78.02,72.69
70.28,73.02,78.17,72.85
70.43,73.17,78.32,73.01
70.53,73.27,78.42,73.12
70.62,73.36,78.51,73.21
70.66,73.4,78.55,73.25
70.73,73.47,78.62,73.33
70.92,73.65,78.81,73.53
71.06,73.79,78.94,73.67
71.18,73.91,79.06,73.8
71.27,74,79.15,73.89
71.39,74.11,79.27,74.02
71.56,74.28,79.44,74.2
71.7,74.42,79.58,74.35
71.89,74.6,79.77,74.55
72.08,74.79,79.95,74.75
72.23,74.94,80.1,74.91
72.38,75.09,80.25,75.06
72.43,75.13,80.3,75.12
72.49,75.19,80.36,75.18
72.63,75.33,80.5,75.33
72.72,75.42,80.59,75.42
72.77,75.47,80.64,75.47
72.84,75.54,80.71,75.55
72.92,75.62,80.79,75.63
72.92,75.62,80.79,75.63
73.05,75.74,80.91,75.77
73.1,75.79,80.96,75.82
73.09,75.78,80.95,75.81
73.16,75.85,81.02,75.88
73.31,76,81.17,76.04
73.38,76.07,81.24,76.12
73.38,76.07,81.24,76.12
73.37,76.06,81.23,76.11
73.35,76.04,81.21,76.08
73.33,76.02,81.19,76.06
73.22,75.91,81.08,75.95
73.01,75.7,80.87,75.73
72.94,75.64,80.81,75.65
72.94,75.64,80.81,75.65
72.79,75.49,80.66,75.49
72.52,75.22,80.39,75.21
72.23,74.94,80.1,74.91
72.07,74.78,79.94,74.74
71.92,74.63,79.8,74.58
71.73,74.45,79.61,74.38
71.72,74.44,79.6,74.37
71.7,74.45,79.58,74.35
71.61,74.36,79.49,74.25
71.52,74.27,79.4,74.16
71.5,74.25,79.38,74.14
71.53,74.28,79.41,74.17
71.51,74.26,79.39,74.15
71.51,74.26,79.39,74.15
71.57,74.32,79.45,74.21
71.75,74.5,79.63,74.4
72,74.74,79.87,74.66
72.26,75,80.13,74.94
72.32,75.06,80.19,75
72.39,75.12,80.26,75.07
72.39,75.12,80.26,75.07
72.39,75.12,80.26,75.07
72.43,75.16,80.3,75.12
72.46,75.19,80.33,75.15
72.48,75.21,80.35,75.17
72.45,75.18,80.32,75.14
72.47,75.2,80.34,75.16
72.47,75.2,80.34,75.16
72.45,75.18,80.32,75.14
72.37,75.1,80.24,75.05
72.27,75.01,80.14,74.95
72.2,74.94,80.07,74.87
72.19,74.93,80.06,74.86
72.2,74.94,80.07,74.87
72.2,74.94,80.07,74.87
72.26,75,80.13,74.94
72.3,75.04,80.17,74.98
72.38,75.11,80.25,75.06
72.55,75.28,80.42,75.24
72.79,75.52,80.66,75.49
72.9,75.63,80.77,75.61
72.9,75.63,80.77,75.61
73.08,75.8,80.94,75.8
73.31,76.03,81.17,76.04
73.55,76.26,81.41,76.29
73.73,76.44,81.59,76.48
73.83,76.54,81.69,76.59
73.95,76.66,81.8,76.72
73.95,76.66,81.8,76.72
73.98,76.69,81.83,76.75
73.98,76.69,81.83,76.75
74,76.71,81.85,76.77
74.03,76.73,81.88,76.8
73.99,76.7,81.84,76.76
73.98,76.69,81.83,76.75
73.98,76.69,81.83,76.75
73.94,76.65,81.8,76.71
73.91,76.62,81.77,76.67
73.93,76.64,81.79,76.69
73.98,76.69,81.83,76.75
74.02,76.73,81.87,76.79
74.02,76.73,81.87,76.79
74.02,76.73,81.87,76.79
74.07,76.77,81.92,76.84
74.08,76.78,81.93,76.85
74.21,76.91,82.06,76.99
74.4,77.1,82.25,77.19
74.5,77.2,82.35,77.29
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.63,77.32,82.48,77.43
74.8,77.5,82.65,77.61
74.95,77.65,82.79,77.77
75.1,77.79,82.94,77.93
75.32,78.01,83.16,78.16
75.61,78.29,83.45,78.46
75.91,78.59,83.75,78.78
76.24,78.91,84.07,79.13
76.57,79.24,84.4,79.47
76.87,79.53,84.7,79.79
77.17,79.83,84.99,80.11
77.47,80.12,85.29,80.42
77.83,80.47,85.65,80.8
77.97,80.61,85.78,80.95
78.12,80.76,85.93,81.11
78.27,80.91,86.08,81.26
78.43,81.06,86.24,81.43
78.42,81.05,86.23,81.42
78.35,80.98,86.16,81.35
78.29,80.92,86.1,81.28
78.2,80.84,86.01,81.19
78.11,80.75,85.92,81.09
77.96,80.6,85.77,80.94
77.83,80.47,85.65,80.8
77.72,80.37,85.54,80.68
77.63,80.28,85.45,80.59
77.42,80.07,85.24,80.37
77.02,79.68,84.84,79.95
76.78,79.44,84.61,79.69
76.58,79.25,84.41,79.48
76.43,79.1,84.26,79.33
76.43,79.1,84.26,79.33
76.43,79.1,84.26,79.33
76.35,79.02,84.18,79.24
76.35,79.02,84.18,79.24
76.35,79.02,84.18,79.24
76.35,79.02,84.18,79.24
76.27,78.94,84.06,79.16
76.27,78.94,84.06,79.16
76.16,78.83,83.92,79.04
76.02,78.7,83.74,78.89
75.93,78.61,83.61,78.8
75.79,78.47,83.44,78.65
75.69,78.37,83.3,78.55
75.55,78.23,83.12,78.4
75.55,78.23,83.12,78.4
75.55,78.23,83.12,78.4
75.55,78.23,83.06,78.4
75.55,78.23,82.99,78.4
75.55,78.23,82.94,78.4
75.55,78.23,82.94,78.4
75.55,78.23,82.94,78.4
75.55,78.23,82.94,78.4
75.71,78.39,83.1,78.57
75.85,78.53,83.24,78.72
75.98,78.66,83.37,78.85
76.13,78.8,83.52,79.01
76.36,79.03,83.75,79.25
76.53,79.2,83.91,79.43
76.53,79.2,83.91,79.43
76.59,79.26,83.97,79.49
76.76,79.42,84.14,79.67
76.95,79.61,84.33,79.87
76.95,79.61,84.33,79.87
76.84,79.51,84.22,79.76
76.84,79.51,84.22,79.76
76.84,79.51,84.22,79.76
76.78,79.51,84.22,79.76
76.62,79.39,84.06,79.59
76.47,79.27,83.91,79.43
76.37,79.2,83.82,79.33
76.3,79.15,83.75,79.25
76.23,79.1,83.68,79.18
76.23,79.1,83.68,79.18
76.23,79.1,83.68,79.18
76.23,79.1,83.68,79.18
76.16,79.05,83.61,79.11
76.16,79.05,83.61,79.11
76.25,79.14,83.7,79.2
76.31,79.2,83.76,79.26
76.31,79.2,83.76,79.26
76.43,79.33,83.87,79.39
76.5,79.42,83.94,79.46
76.7,79.62,84.14,79.68
76.85,79.77,84.29,79.83
76.97,79.89,84.41,79.96
77.06,80,84.5,80.05
77.06,80,84.5,80.05
77.06,80,84.5,80.05
77.13,80.09,84.57,80.13
77.23,80.18,84.67,80.23
77.23,80.18,84.67,80.23
77.14,80.1,84.58,80.14
77.14,80.1,84.58,80.14
77.14,80.1,84.58,80.14
77.2,80.14,84.63,80.19
77.2,80.14,84.63,80.19
77.28,80.22,84.71,80.28
77.4,80.34,84.82,80.4
77.49,80.43,84.91,80.5
77.58,80.52,85,80.59
77.58,80.52,85,80.59
77.58,80.52,85,80.59
77.67,80.61,85.09,80.69
77.67,80.61,85.09,80.69
77.78,80.71,85.2,80.8
77.91,80.84,85.33,80.94
78.05,80.98,85.47,81.09
78.18,81.11,85.6,81.22
78.3,81.23,85.72,81.35
78.52,81.44,85.93,81.58
78.68,81.6,86.09,81.75
78.84,81.76,86.25,81.92
79.15,82.06,86.56,82.24
79.31,82.22,86.72,82.41
79.31,82.22,86.72,82.41
79.51,82.41,86.91,82.62
79.99,82.88,87.39,83.13
80.38,83.27,87.77,83.54
80.5,83.39,87.89,83.66
80.73,83.61,88.12,83.91
80.87,83.75,88.26,84.05
80.87,82.74,88.26,84.05
81,82.87,88.39,84.19
81.28,83.14,88.67,84.49
81.63,83.49,89.01,84.85
