Time,Delhi,Kolkata,Mumbai,Chennai
"January 01, 2020",75.14,77.79,80.79,78.12
"January 02, 2020",75.25,77.87,80.87,78.2
"January 03, 2020",75.35,77.94,80.94,78.28
"January 04, 2020",75.45,78.04,81.04,78.39
"January 05, 2020",75.54,78.13,81.13,78.48
"January 06, 2020",75.69,78.28,81.28,78.64
"January 07, 2020",75.74,78.33,81.33,78.69
"January 08, 2020",75.74,78.33,81.33,78.69
"January 09, 2020",75.81,78.39,81.4,78.77
"January 10, 2020",75.96,78.54,81.55,78.92
"January 11, 2020",76.01,78.59,81.6,78.98
"January 12, 2020",75.9,78.48,81.49,78.86
"January 13, 2020",75.8,78.39,81.39,78.76
"January 14, 2020",75.7,78.29,81.29,78.65
"January 15, 2020",75.7,78.29,81.29,78.65
