Time,Delhi,Kolkata,Mumbai,Chennai
01-01-2018,69.97,72.72,77.87,72.53
02-01-2018,69.97,72.72,77.87,72.53
03-01-2018,69.97,72.72,77.87,72.53
04-01-2018,69.97,72.72,77.87,72.53
05-01-2018,69.99,72.74,77.89,72.55
06-01-2018,70.13,72.88,78.02,72.69
07-01-2018,70.28,73.02,78.17,72.85
08-01-2018,70.43,73.17,78.32,73.01
09-01-2018,70.53,73.27,78.42,73.12
10-01-2018,70.62,73.36,78.51,73.21
11-01-2018,70.66,73.4,78.55,73.25
12-01-2018,70.73,73.47,78.62,73.33
13-01-2018,70.92,73.65,78.81,73.53
14-01-2018,71.06,73.79,78.94,73.67
15-01-2018,71.18,73.91,79.06,73.8
16-01-2018,71.27,74,79.15,73.89
17-01-2018,71.39,74.11,79.27,74.02
18-01-2018,71.56,74.28,79.44,74.2
19-01-2018,71.7,74.42,79.58,74.35
20-01-2018,71.89,74.6,79.77,74.55
21-01-2018,72.08,74.79,79.95,74.75
22-01-2018,72.23,74.94,80.1,74.91
23-01-2018,72.38,75.09,80.25,75.06
24-01-2018,72.43,75.13,80.3,75.12
25-01-2018,72.49,75.19,80.36,75.18
26-01-2018,72.63,75.33,80.5,75.33
27-01-2018,72.72,75.42,80.59,75.42
28-01-2018,72.77,75.47,80.64,75.47
29-01-2018,72.84,75.54,80.71,75.55
30-01-2018,72.92,75.62,80.79,75.63
31-01-2018,72.92,75.62,80.79,75.63
01-02-2018,73.05,75.74,80.91,75.77
02-02-2018,73.1,75.79,80.96,75.82
03-02-2018,73.09,75.78,80.95,75.81
04-02-2018,73.16,75.85,81.02,75.88
05-02-2018,73.31,76,81.17,76.04
06-02-2018,73.38,76.07,81.24,76.12
07-02-2018,73.38,76.07,81.24,76.12
08-02-2018,73.37,76.06,81.23,76.11
09-02-2018,73.35,76.04,81.21,76.08
10-02-2018,73.33,76.02,81.19,76.06
11-02-2018,73.22,75.91,81.08,75.95
12-02-2018,73.01,75.7,80.87,75.73
13-02-2018,72.94,75.64,80.81,75.65
14-02-2018,72.94,75.64,80.81,75.65
15-02-2018,72.79,75.49,80.66,75.49
16-02-2018,72.52,75.22,80.39,75.21
17-02-2018,72.23,74.94,80.1,74.91
18-02-2018,72.07,74.78,79.94,74.74
19-02-2018,71.92,74.63,79.8,74.58
20-02-2018,71.73,74.45,79.61,74.38
21-02-2018,71.72,74.44,79.6,74.37
22-02-2018,71.7,74.45,79.58,74.35
23-02-2018,71.61,74.36,79.49,74.25
24-02-2018,71.52,74.27,79.4,74.16
25-02-2018,71.5,74.25,79.38,74.14
26-02-2018,71.53,74.28,79.41,74.17
27-02-2018,71.51,74.26,79.39,74.15
